id_user,id_res,X,userId,resId
samadhivayo,238995,0.96,25810,3267
hdtuan93,238995,0.68,13356,3267
khoa020619864322,238995,0.59,16236,3267
nguyenhongngan135,26514,0.07,21661,3913
huyphuong1187,26514,0.23,15270,3913
xuanphan87,26514,0.92,31899,3913
nhmm8931,26514,0.89,22645,3913
michelcuong,26514,0.81,19252,3913
danghuynhmaitrang,26514,0.26,5621,3913
michelcuong,26514,0.66,19252,3913
khuongtran5268,26514,0.45,16305,3913
doankd6772,26514,0.2,6230,3913
ronswift,218600,0.81,25661,2767
ronswift,218600,0.78,25661,2767
ngocminhnguyen1919,641666,0.34,21139,5956
huyhong6306,641666,0.82,15096,5956
Vy_0910,641666,0.89,2324,5956
hdtuan93,704171,0.74,13356,7633
hdtuan93,704171,0.86,13356,7633
huyhong6306,737994,0.8,15096,8608
hdtuan93,133384,0.8,13356,828
buutung5289,133384,0.81,4337,828
hdtuan93,133384,0.83,13356,828
hdtuan93,133384,0.76,13356,828
final_tears,133384,0.89,7043,828
zzheokubizz6531,133384,0.29,32345,828
zanly.baby,133384,0.83,32253,828
cngtonl0950,133384,0.77,5141,828
dangthihongthuy8814,133384,0.62,5668,828
taiboohoo,133384,0.91,26624,828
galaxynovar,133384,0.91,12380,828
ttbms,133384,0.68,30197,828
shikkap,133384,0.9,26030,828
vietpham89105,133384,0.79,31017,828
dinhhuy2203,133384,0.9,6079,828
baprangbo_1176,678201,0.83,3503,7019
huyhong6306,678201,0.78,15096,7019
huyhong6306,678201,0.83,15096,7019
sunny.tran.35,678201,0.9,26460,7019
panda1983,19362,0.76,23534,2131
foodee_xmqw5wz8,19362,0.38,11945,2131
nguynhngphc9778,19362,0.3,22241,2131
duongngochongthi,19362,0.64,6658,2131
happynewyear.365,19362,0.69,13230,2131
thanh5231,19362,0.7,26987,2131
lmkhnhphng7120,19362,0.1,18047,2131
sweet_love118,19362,0.64,26550,2131
duongngochongthi,19362,0.62,6658,2131
buivuaihien,19362,0.95,4288,2131
copbeo666,19362,0.5,5339,2131
Myvan1529,19362,0.52,1489,2131
vitlun_hamchoi,19362,0.55,31148,2131
buutung5289,19362,0.72,4337,2131
my_shine_moon_2007,19362,0.72,20156,2131
trongaikg,19362,0.69,29952,2131
ematsyenguyen5268,19362,0.87,6894,2131
lamtruonghuy,19362,0.79,16952,2131
minhth4272,86709,0.77,19600,10145
hoc_86,86709,0.89,14333,10145
tminh0261,86709,0.84,28793,10145
nguyenthuytrucanh,86709,0.73,22056,10145
khuongtran5268,86709,0.71,16305,10145
helenphuongkhanh,86709,0.85,13377,10145
bichhuynguyen248,203846,0.82,3742,2341
bichhuyminhtri,203846,0.81,3741,2341
michelcuong,203846,0.73,19252,2341
ronswift,203846,0.81,25661,2341
agvinh,203846,0.78,2475,2341
bichhuyminhtri,203846,0.89,3741,2341
chanhphuongct,203846,0.82,4668,2341
agvinh,203846,0.77,2475,2341
hdtuan93,36615,0.69,13356,5189
hdtuan93,36615,0.68,13356,5189
kimngaho14,36615,0.78,16514,5189
lamthikimthu,36615,0.87,16942,5189
hotboybongdem3x,36615,0.82,14617,5189
ttbms,36615,0.65,30197,5189
giabot,36615,0.8,12473,5189
my_shine_moon_2007,36615,0.85,20156,5189
taysungmientay,36615,0.71,26795,5189
jimmy.nguyen1205,19393,0.86,15641,2139
panda1983,770017,0.85,23534,9279
hdtuan93,770017,0.75,13356,9279
lamthikimthu,640518,0.69,16942,5937
michelcuong,664218,0.68,19252,6655
panda1983,774476,0.84,23534,9394
daikabao,774476,0.83,5551,9394
foodee_19a24302,774476,0.88,7302,9394
foodee_0by0ifzp,774476,0.84,7151,9394
ngoisaomayman_2605,774476,0.85,21269,9394
Binh_An_Tran,774476,0.8,607,9394
foodee_19a24302,774476,0.78,7302,9394
panda1983,774476,0.83,23534,9394
foodee_os3vgg99,774476,0.89,10878,9394
daikabao,774476,0.88,5551,9394
foodee_og6trtjf,774476,0.86,10835,9394
chienluockd.nhom2,774476,0.92,4841,9394
panda1983,774476,0.83,23534,9394
nhtho8158,774476,0.95,22803,9394
foodee_0by0ifzp,774476,0.92,7151,9394
panda1983,774476,0.89,23534,9394
foodee_dd6e3f51,774476,0.92,9397,9394
phanquynh1983,774476,0.86,24046,9394
hongloan777921,774476,0.97,14477,9394
daikabao,774476,0.84,5551,9394
hdtuan93,774476,0.82,13356,9394
sunha,72921,0.66,26455,8395
phuocmarketer,72921,0.8,24392,8395
mrduongtanan,72921,0.85,20007,8395
graced.ngo,72921,0.81,12703,8395
huyhong6306,190278,0.82,15096,2045
michelcuong,255481,0.56,19252,3675
lamthikimthu,639929,0.77,16942,5928
hdtuan93,704861,0.83,13356,7657
hdtuan93,704861,0.8,13356,7657
hdtuan93,704861,0.72,13356,7657
hdtuan93,770055,0.77,13356,9282
panda1983,26733,0.79,23534,3976
hdtuan93,26733,0.8,13356,3976
hdtuan.agp,26733,0.61,13355,3976
hdtuan93,26733,0.76,13356,3976
michelcuong,26733,0.75,19252,3976
chauhonghong,26733,0.8,4707,3976
buutung5289,26733,0.76,4337,3976
dragontql,26733,0.51,6409,3976
phamyves,26733,0.76,23959,3976
kenleehu,26733,0.85,15967,3976
Catherine_le,740490,0.53,664,8674
jiach,740490,0.74,15631,8674
hdtuan93,26549,0.76,13356,3922
hdtuan93,26549,0.85,13356,3922
hdtuan93,26549,0.79,13356,3922
michelcuong,26549,0.86,19252,3922
foodee_549e9673,631711,0.87,7947,5749
minhphuongtran0603,270711,0.81,19573,4057
minhphuongtran0603,270711,0.86,19573,4057
duongngochongthi,270711,0.8,6658,4057
kimngaho14,270711,0.86,16514,4057
duongngochongthi,270711,0.8,6658,4057
muabandtdduk,774485,0.64,20086,9396
Thaitran1408,774485,0.79,1959,9396
hdtuan93,774485,0.83,13356,9396
foodee_q95omexs,744944,0.82,11066,8758
xunvinguyen,295306,0.19,31947,4701
foodyuser_2749ad18,295306,0.43,12223,4701
foodee_xok1vmda,295306,0.82,11951,4701
hdtuan93,295306,0.74,13356,4701
hdtuan93,295306,0.77,13356,4701
hdtuan93,295306,0.85,13356,4701
hdtuan.agp,295306,0.73,13355,4701
hdtuan93,295306,0.89,13356,4701
hdtuan93,295306,0.66,13356,4701
hdtuan93,295306,0.78,13356,4701
michelcuong,295306,0.87,19252,4701
ngthai11sh,295306,0.41,21349,4701
Myvan1529,295306,0.84,1489,4701
hongchau0909,210739,0.81,14433,2551
nguynhoiphng,250959,0.78,22244,3561
foodee_ygyuvbih,262447,0.76,12029,3852
lenguyenhongan0602,262447,0.47,17387,3852
bichtuyendtxd,262447,0.86,3795,3852
hdtuan93,262447,0.76,13356,3852
hdtuan93,262447,0.84,13356,3852
hdtuan.agp,262447,0.72,13355,3852
lamngochue1133,262447,0.92,16920,3852
hoangphuongdo93,262447,0.8,14177,3852
nguyenphuong9x,262447,0.71,21865,3852
hnp.97,262447,0.46,13801,3852
phuongnhiyixing,262447,0.72,24586,3852
trankimtu1507,262447,0.45,29463,3852
boiceledinh1995,698200,0.88,4038,7475
hdtuan93,698200,0.76,13356,7475
hdtuan93,698200,0.79,13356,7475
hdtuan93,698200,0.87,13356,7475
hdtuan.agp,698200,0.86,13355,7475
hdtuan.agp,698200,0.79,13355,7475
hdtuan93,698200,0.78,13356,7475
baprangbo_1176,719676,0.85,3503,8090
huyhong6306,719676,0.81,15096,8090
huyhong6306,719676,0.85,15096,8090
cactus1551994,190323,0.65,4372,2047
cactus1551994,190323,0.62,4372,2047
nguyndng6913,212372,0.83,22226,2630
huyhoang09101996,685834,0.79,15092,7209
huyhong6306,685834,0.84,15096,7209
lbmai1410,214473,0.43,17085,2682
kelsi.bichtran,214473,0.62,15926,2682
foodee_o5vnrtgc,1026633,0.94,10805,278
michelcuong,630743,0.83,19252,5677
kimngaho14,233507,0.54,16514,3130
huong.vo2887,233507,0.74,14830,3130
hdtuan93,799548,0.81,13356,9821
Myvan1529,176551,0.76,1489,1735
mr_noname1997,204834,0.71,19989,2365
ngnnganguyncao,204834,0.9,20908,2365
giamy9498,204834,0.86,12503,2365
ttbms,204834,0.72,30197,2365
tuccunglusia,204834,0.89,30330,2365
cactus1551994,204834,0.8,4372,2365
foodee_q0o35zf9,867195,0.22,11036,10146
Catherine_le,72930,0.78,664,8398
lphthai,72930,0.64,18317,8398
hdtuan93,72930,0.73,13356,8398
hdtuan.agp,72930,0.7,13355,8398
hdtuan93,72930,0.67,13356,8398
hdtuan93,774727,0.72,13356,9406
stevehuynhlx,721654,0.62,26365,8166
dtttvk,689320,0.88,6446,7281
hwahwa.hoahoa,689320,0.84,15295,7281
jantanaroo,689320,0.86,15545,7281
fanghienfilm,689320,0.72,7012,7281
hdtuan93,704172,0.65,13356,7634
hdtuan93,704172,0.71,13356,7634
hdtuan93,704172,0.72,13356,7634
hdtuan93,737198,0.79,13356,8574
hdtuan93,737198,0.84,13356,8574
foodee_9420bd8b,774282,0.7,8633,9391
foodee_xmqw5wz8,774282,0.5,11945,9391
phanhaithinh,774282,0.86,23985,9391
hdtuan93,774282,0.86,13356,9391
nguyentranngochau,754292,0.93,22086,8958
michelcuong,667576,0.68,19252,6774
hdtuan93,799541,0.72,13356,9820
khanhxmui,19384,0.97,16179,2138
ghi3003,19384,0.74,12461,2138
foodee_zgffg7ql,704184,0.92,12151,7636
hdtuan93,704184,0.81,13356,7636
hdtuan93,704184,0.81,13356,7636
hdtuan93,704184,0.7,13356,7636
panda1983,974381,0.82,23534,11076
panda1983,974381,0.78,23534,11076
ngtrsinh1991,704810,0.73,21380,7655
h2_story,958013,1.0,12748,10983
hwahwa.hoahoa,188158,0.84,15295,1979
hdtuan93,188158,0.82,13356,1979
hdtuan93,188158,0.82,13356,1979
hdtuan93,188158,0.86,13356,1979
hdtuan93,188158,0.77,13356,1979
ttbms,188158,0.83,30197,1979
huyhong6306,664292,0.84,15096,6660
hdtuan93,700091,0.77,13356,7521
hdtuan93,700091,0.85,13356,7521
hdtuan93,700091,0.85,13356,7521
hdtuan.agp,700091,0.79,13355,7521
hdtuan93,700091,0.88,13356,7521
cactus1551994,162946,0.88,4372,1401
cactus1551994,162946,0.85,4372,1401
panda1983,698201,0.72,23534,7476
toan113208,698201,0.89,28853,7476
hdtuan93,698201,0.72,13356,7476
hdtuan.agp,698201,0.76,13355,7476
hdtuan93,698201,0.82,13356,7476
lesonhoa381318,19369,0.76,17452,2133
jimmy.nguyen1205,19369,0.76,15641,2133
foodee_184451ad,716913,0.83,7289,7988
foodee_xmqw5wz8,716913,0.34,11945,7988
hdtuan93,716913,0.69,13356,7988
caotandat0003,716913,0.31,4511,7988
huyhong6306,737203,0.8,15096,8576
kwonzun612,245282,0.61,16782,3452
hdtuan93,245282,0.88,13356,3452
hdtuan93,245282,0.82,13356,3452
hdtuan.agp,245282,0.81,13355,3452
hdtuan93,245282,0.86,13356,3452
michelcuong,245282,0.8,19252,3452
michelcuong,300836,0.63,19252,4818
minhthien2003,311008,0.8,19607,4880
foodee_a4ukfcxz,311008,0.37,8799,4880
huyhong6306,311008,0.77,15096,4880
tutanhuy250296,311008,0.25,30455,4880
hdtuan93,311008,0.78,13356,4880
hunghunter23,311008,0.75,14769,4880
michelcuong,311008,0.86,19252,4880
nghia.chauphu,311008,0.87,20809,4880
nghia.chauphu,311008,0.89,20809,4880
michelcuong,311008,0.79,19252,4880
Myvan1529,311008,0.82,1489,4880
hdtuan93,770222,0.82,13356,9293
hdtuan93,241573,0.83,13356,3348
